code,term
30950711000001105,Beclometasone 200micrograms/dose inhaler CFC free (DE Pharmaceuticals) (AMP)
30950911000001107,Beclometasone 50micrograms/dose inhaler CFC free (DE Pharmaceuticals) (AMP)
3096011000001109,Becodisks 200microgram with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
3097711000001109,Flixotide 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
3098611000001101,Flixotide 100microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
3099611000001105,Flixotide 100microgram disks (GlaxoSmithKline UK Ltd) (AMP)
3099811000001109,Becodisks 200microgram (GlaxoSmithKline UK Ltd) (AMP)
3100811000001109,Flixotide 50microgram disks (GlaxoSmithKline UK Ltd) (AMP)
3102211000001109,Becodisks 400microgram with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
3103211000001103,Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
3103511000001100,Flixotide 250microgram disks (GlaxoSmithKline UK Ltd) (AMP)
3104911000001109,Becodisks 400microgram (GlaxoSmithKline UK Ltd) (AMP)
3105311000001107,Becloforte 400microgram disks (GlaxoSmithKline UK Ltd) (AMP)
3106311000001102,Flixotide 250microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
31063111000001106,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
31063411000001101,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd) (AMP)
31064411000001103,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd) (AMP)
31064611000001100,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd) (AMP)
31064811000001101,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (A A H Pharmaceuticals Ltd) (AMP)
3108411000001105,Flixotide 500microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
31087411000001106,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
31087511000001105,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (VMP)
3110511000001108,Flixotide 500microgram disks (GlaxoSmithKline UK Ltd) (AMP)
3111911000001108,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd) (AMP)
3112411000001105,Pulmicort 200 Turbohaler (AstraZeneca UK Ltd) (AMP)
3112511000001109,Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd) (AMP)
3112911000001102,Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
3113111000001106,Pulmicort 100 Turbohaler (AstraZeneca UK Ltd) (AMP)
3113411000001101,Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
31352911000001106,Beclometasone 100micrograms/dose inhaler CFC free (J M McGill Ltd) (AMP)
31353111000001102,Beclometasone 200micrograms/dose inhaler CFC free (J M McGill Ltd) (AMP)
31353311000001100,Beclometasone 50micrograms/dose inhaler CFC free (J M McGill Ltd) (AMP)
31457011000001100,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (J M McGill Ltd) (AMP)
