code,term
30833811000001101,Montelukast 5mg chewable tablets sugar free (Mawdsley-Brooks & Company Ltd) (AMP)
30834011000001109,Montelukast 10mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
3084011000001103,Serevent 50microgram disks with Diskhaler (GlaxoSmithKline UK Ltd) (AMP)
30950311000001106,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler (Sandoz Ltd) (AMP)
31063111000001106,Fostair NEXThaler 200micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd) (AMP)
31063411000001101,Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd) (AMP)
31064411000001103,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd) (AMP)
31064611000001100,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free (A A H Pharmaceuticals Ltd) (AMP)
31064811000001101,Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler (A A H Pharmaceuticals Ltd) (AMP)
31087411000001106,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
31087511000001105,Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler (VMP)
31457011000001100,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (J M McGill Ltd) (AMP)
31457411000001109,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (J M McGill Ltd) (AMP)
3186911000001100,Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd) (AMP)
3187211000001106,Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd) (AMP)
3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd) (AMP)
3206811000001109,Foradil 12microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd) (AMP)
32333511000001106,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (Colorama Pharmaceuticals Ltd) (AMP)
32333911000001104,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (Colorama Pharmaceuticals Ltd) (AMP)
3243511000001107,Oxis 6 Turbohaler (AstraZeneca UK Ltd) (AMP)
3245011000001103,Oxis 12 Turbohaler (AstraZeneca UK Ltd) (AMP)
32684611000001106,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (DE Pharmaceuticals) (AMP)
32684911000001100,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler (DE Pharmaceuticals) (AMP)
32926011000001100,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler (AstraZeneca UK Ltd) (AMP)
3294211000001101,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd) (AMP)
3294611000001104,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd) (AMP)
32960711000001105,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free (VMP)
33561211000001109,Soltel 25micrograms/dose inhaler CFC free (Cipla EU Ltd) (AMP)
33679711000001103,Aerivio Spiromax 50micrograms/dose / 500micrograms/dose dry powder inhaler (Teva UK Ltd) (AMP)
3380111000001107,Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd) (AMP)
34023611000001101,Sereflo 25micrograms/dose / 125micrograms/dose inhaler (Cipla EU Ltd) (AMP)
34023811000001102,Sereflo 25micrograms/dose / 250micrograms/dose inhaler (Cipla EU Ltd) (AMP)
34215311000001107,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler (Sandoz Ltd) (AMP)
34215511000001101,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler (Sandoz Ltd) (AMP)
34675711000001103,Aloflute 25micrograms/dose / 250micrograms/dose inhaler (Viatris UK Healthcare Ltd) (AMP)
